ed,cd
23001,32
23002,32
23006,32
23008,32
23009,32
23010,32
23015,32
23020,32
23025,31
23026,31
23028,31
23029,31
23030,31
23031,31
23032,31
23033,31
23034,31
23035,31
23036,31
23037,31
23038,31
23040,32
23041,32
23042,31
23043,32
23044,32
23045,32
23046,32
23047,32
23048,32
23049,32
23050,32
23051,32
23052,32
23053,32
23055,32
23056,32
23057,32
23058,32
23059,32
23060,32
23061,32
23062,32
23063,32
23064,32
23065,32
23066,32
23067,32
23068,32
23069,32
23071,31
23073,31
23074,32
23077,31
23078,31
23079,31
23081,31
23082,31
23084,32
23085,32
23087,32
23088,31
23089,32
23090,32
23091,28
23093,32
24001,23
24002,23
24003,23
24004,23
24005,23
24006,23
24007,23
24010,23
24011,23
24012,23
24013,23
24014,23
24015,23
24016,23
24017,23
24018,23
24019,23
24020,23
24021,23
24022,23
24023,23
24024,23
24025,23
24026,29
24027,23
24028,23
24029,23
24030,23
24031,23
24032,23
24033,24
24034,24
24035,24
24036,24
24037,24
24038,24
24039,24
24040,24
24041,24
24042,24
24043,24
24044,24
24045,24
24046,24
24047,24
24048,24
24049,24
24050,24
24051,24
24052,24
24053,24
24054,24
24055,24
24056,24
24057,27
24058,24
24060,24
24061,23
24062,24
24063,28
24064,29
24065,29
24066,29
24067,24
24068,29
24069,29
24070,29
24071,29
24072,29
24073,29
24074,28
24075,28
24076,29
24077,28
24078,24
24079,29
24081,24
24082,29
24083,23
24084,23
24085,24
24086,24
24087,29
24088,29
24089,23
24090,24
24091,23
25001,24
25002,24
25003,24
25004,24
25005,24
25006,24
25007,24
25008,24
25009,24
25010,24
25011,24
25012,24
25013,24
25014,24
25015,24
25016,23
25017,23
25018,23
25019,23
25020,23
25021,23
25022,23
25023,23
25024,23
25025,23
25026,23
25027,23
25028,23
25029,23
25030,19
25031,19
25032,19
25033,19
25034,19
25035,20
25036,20
25037,20
25038,20
25039,20
25040,20
25041,20
25042,20
25043,20
25044,20
25045,20
25046,20
25047,20
25048,20
25049,20
25051,20
25055,20
25056,20
25057,20
25058,23
25059,24
25060,24
25061,24
25062,24
25063,20
25065,23
25066,23
25067,23
25068,20
25069,24
25070,24
25071,23
25072,23
25073,20
25074,20
25075,23
25076,24
25077,23
25078,19
25079,20
26001,19
26002,19
26003,19
26004,19
26005,19
26006,19
26007,19
26008,19
26009,19
26010,19
26011,19
26012,19
26013,19
26014,19
26015,19
26016,19
26017,19
26018,19
26019,19
26020,19
26021,19
26022,19
26023,19
26024,19
26025,19
26026,19
26027,19
26028,19
26029,19
26031,19
26033,19
26034,19
26035,19
26036,20
26037,19
26038,19
26039,19
26040,23
26041,19
26042,23
26043,23
26044,23
26045,23
26046,23
26047,23
26048,23
26049,23
26050,19
26051,19
26052,19
26053,19
26054,19
26055,19
26056,19
26057,19
26058,19
26059,19
26060,19
26061,19
26062,19
26063,19
26064,19
26065,19
26066,19
26067,19
26068,19
26069,19
26070,19
26071,23
26072,23
26073,23
26074,23
26075,23
26076,23
26078,23
26079,19
26080,19
26081,19
26082,19
26083,19
26084,23
26085,19
27001,24
27002,29
27003,29
27004,29
27005,29
27007,29
27009,29
27010,24
27011,24
27012,24
27014,24
27016,24
27018,29
27019,29
27020,29
27022,29
27023,19
27025,24
27026,24
27027,24
27028,24
27029,24
27030,24
27031,24
27032,24
27033,24
27034,24
27035,24
27036,24
27037,24
27038,24
27039,24
27040,24
27041,24
27042,24
27043,24
27044,24
27046,29
27047,24
27048,29
27049,29
27050,29
27051,19
27052,24
27053,24
27056,24
27057,19
27059,19
27060,19
27061,19
27062,19
27063,19
27064,19
27065,19
27066,19
27067,19
27068,19
27069,29
27070,29
27072,24
27073,21
27075,21
27078,19
27079,24
27080,24
27081,19
27082,29
27083,29
27084,24
27085,24
27086,29
27087,19
27088,29
27089,24
28001,29
28002,29
28003,29
28004,29
28005,29
28006,30
28007,29
28008,29
28009,29
28010,29
28011,29
28012,29
28013,29
28014,30
28016,32
28017,32
28018,29
28019,29
28020,29
28021,29
28022,29
28023,29
28024,29
28025,29
28026,29
28027,29
28028,29
28029,29
28030,29
28031,29
28032,29
28033,29
28034,29
28035,29
28036,29
28037,29
28038,29
28039,29
28040,29
28041,29
28042,30
28043,29
28044,29
28045,29
28046,29
28047,29
28048,29
28049,29
28050,29
28051,30
28052,29
28053,29
28054,24
28055,29
28056,30
28057,30
28058,30
28059,24
28060,30
28061,30
28062,30
28063,30
28064,30
28065,29
28066,29
28067,29
28068,29
28069,29
28070,32
28071,32
28072,30
28073,30
28074,30
28075,30
28076,30
28078,30
28079,32
28080,29
28081,29
28082,32
28083,30
28084,29
28085,29
28086,30
28087,29
28088,29
28089,30
29001,24
29002,27
29003,27
29004,27
29005,27
29006,24
29007,24
29008,24
29009,23
29010,23
29011,23
29012,27
29013,23
29014,27
29015,27
29016,27
29017,27
29018,27
29019,27
29020,27
29022,27
29023,27
29024,27
29025,27
29026,27
29027,27
29028,27
29029,27
29030,27
29031,27
29032,27
29033,27
29034,27
29035,28
29036,23
29037,23
29038,23
29039,23
29041,31
29042,31
29043,31
29044,31
29045,31
29046,31
29047,31
29048,31
29049,31
29050,31
29051,31
29052,31
29053,31
29054,31
29055,31
29056,31
29057,31
29058,31
29059,31
29060,31
29061,31
29062,31
29063,31
29064,31
29065,31
29070,27
29071,31
29072,27
29073,27
29074,27
29075,27
29076,23
29077,31
29078,31
29079,31
30001,30
30002,30
30003,30
30004,30
30005,30
30006,30
30007,30
30008,30
30009,30
30010,30
30012,30
30014,30
30016,30
30017,30
30018,30
30019,26
30020,30
30021,30
30022,30
30023,30
30025,30
30026,30
30028,30
30029,26
30030,30
30031,30
30032,30
30033,30
30034,30
30035,22
30036,26
30038,26
30039,26
30040,26
30041,26
30042,26
30043,26
30044,26
30045,26
30046,26
30047,26
30048,26
30049,26
30051,26
30052,26
30053,26
30054,26
30055,26
30056,22
30057,26
30058,26
30059,26
30060,22
30061,22
30063,22
30064,22
30065,26
30066,22
30067,26
30068,26
30069,22
30071,26
30072,26
30075,26
30076,26
30077,26
30078,22
30079,26
30080,26
30081,26
30082,22
31001,28
31003,28
31004,28
31005,28
31006,28
31007,28
31008,28
31009,28
31010,28
31011,28
31012,28
31013,28
31014,28
31015,28
31016,28
31017,28
31018,28
31021,31
31022,28
31023,28
31024,28
31025,28
31026,28
31027,28
31028,28
31029,31
31030,32
31031,32
31032,31
31033,31
31034,31
31036,31
31038,31
31039,31
31040,31
31041,31
31042,31
31043,31
31044,31
31045,31
31046,31
31047,31
31048,31
31049,31
31050,31
31051,31
31052,31
31053,31
31054,31
31055,31
31056,31
31057,31
31058,31
31059,31
31060,31
31061,31
31062,31
31063,31
31064,31
31065,31
31066,28
31067,31
31068,31
31069,31
31070,31
31071,32
31072,31
31073,31
31076,31
31077,28
31078,28
31079,31
31081,28
31082,28
31083,31
31084,31
31085,31
31086,31
32001,24
32002,24
32003,27
32004,27
32005,27
32006,27
32007,27
32008,27
32009,24
32010,24
32011,24
32012,27
32014,27
32015,28
32016,28
32017,28
32019,29
32020,29
32021,28
32022,28
32023,28
32024,28
32025,28
32026,28
32027,28
32028,28
32029,28
32030,28
32031,28
32032,28
32033,28
32034,28
32035,28
32036,28
32037,28
32038,28
32039,28
32040,27
32041,27
32042,28
32043,28
32044,28
32045,28
32046,28
32047,28
32048,28
32050,28
32051,28
32052,28
32053,28
32055,28
32057,28
32058,28
32059,28
32060,28
32061,31
32062,28
32063,28
32064,28
32065,28
32066,28
32067,28
32068,28
32069,28
32070,28
32071,28
32072,27
32073,27
32074,27
32076,28
32077,28
32078,28
32079,27
32080,27
32081,28
32082,28
32083,28
32084,28
33001,23
33002,23
33003,23
33004,23
33005,23
33006,23
33007,23
33008,23
33009,23
33010,23
33011,23
33012,23
33013,23
33014,23
33015,23
33016,23
33017,23
33018,23
33019,23
33020,23
33021,23
33022,23
33023,23
33024,23
33025,23
33026,23
33027,23
33028,23
33029,27
33031,27
33032,27
33033,27
33034,27
33035,27
33036,27
33037,27
33038,27
33039,27
33040,27
33041,27
33042,27
33043,27
33044,27
33045,27
33046,27
33047,27
33048,27
33049,27
33050,27
33052,27
33053,27
33055,27
33056,27
33057,27
33058,27
33059,27
33060,27
33061,27
33062,27
33063,27
33064,27
33065,27
33066,27
33067,27
33068,27
33071,27
33072,27
33073,27
33074,23
33075,23
33076,23
33077,27
33078,27
33079,27
34001,21
34002,21
34003,21
34004,21
34005,21
34006,25
34007,21
34008,25
34009,21
34010,22
34011,25
34012,21
34013,25
34014,25
34015,25
34016,25
34017,25
34018,25
34019,25
34020,25
34021,25
34022,25
34023,25
34024,25
34025,25
34026,25
34027,25
34028,25
34029,25
