ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36005000100,22,3772,12,1259,260,2172,59,12,10,Rikers Island
36005000200,18,4779,1065,3173,152,1011,202,115,126,Soundview-Clason Point
36005000400,18,6272,1337,3972,238,1592,230,91,149,Soundview-Clason Point
36005001600,18,5795,1251,3479,121,1884,122,81,108,Soundview-Clason Point
36005001901,8,2292,567,1089,250,803,39,35,76,Mott Haven-Port Morris
36005001902,8,1613,293,854,165,524,13,21,36,Mott Haven-Port Morris
36005001903,8,2,0,2,0,0,0,0,0,Mott Haven-Port Morris
36005001904,17,0,0,0,0,0,0,0,0,North & South Brother Islands
36005002001,18,5007,1394,3023,68,1755,21,59,81,Soundview-Clason Point
36005002002,18,4584,1140,3058,66,1169,78,112,101,Soundview-Clason Point
36005002300,8,4742,1265,3045,67,1473,19,57,81,Mott Haven-Port Morris
36005002400,18,6,1,3,1,0,0,0,2,Soundview Park
36005002500,8,5442,1491,4135,105,1048,53,26,75,Mott Haven-Port Morris
36005002701,8,3080,910,2063,35,900,28,15,39,Mott Haven-Port Morris
36005002702,8,4995,1571,3318,94,1398,55,38,92,Mott Haven-Port Morris
36005002800,18,5853,1045,1647,89,3889,38,39,151,Soundview-Bruckner-Bronx River
36005003100,8,2964,916,1780,35,1014,58,32,45,Mott Haven-Port Morris
36005003300,8,3689,1038,2453,55,1066,16,30,69,Mott Haven-Port Morris
36005003500,8,3726,959,2592,122,924,25,32,31,Mott Haven-Port Morris
36005003700,8,340,87,194,5,123,0,6,12,Mott Haven-Port Morris
36005003800,18,1683,521,1082,18,475,49,27,32,Soundview-Clason Point
36005003900,8,6345,1535,5107,249,823,37,65,64,Mott Haven-Port Morris
36005004001,18,1739,380,740,125,220,566,29,59,Castle Hill-Unionport
36005004100,8,6146,1698,4083,94,1819,35,37,78,Mott Haven-Port Morris
36005004200,18,7201,1642,4313,90,2581,63,47,107,Soundview-Clason Point
36005004300,8,5883,1577,4174,130,1409,43,33,94,Mott Haven-Port Morris
36005004400,18,4642,1138,2809,88,1437,180,54,74,Soundview-Bruckner-Bronx River
36005004600,18,1976,516,1187,53,673,4,14,45,Soundview-Clason Point
36005004800,18,4184,1093,3263,64,646,67,95,49,Soundview-Bruckner-Bronx River
36005005001,18,4960,1470,3463,81,1191,95,68,62,Soundview-Bruckner-Bronx River
36005005002,18,6518,1944,4973,104,1051,139,133,118,Soundview-Bruckner-Bronx River
36005005100,8,6459,1712,3963,163,2131,55,48,99,Mott Haven-Port Morris
36005005200,17,2130,549,1483,20,543,34,25,25,Soundview-Bruckner-Bronx River
36005005300,16,4371,1402,2038,38,2092,12,50,141,University Heights (South)-Morris Heights
36005005400,17,6804,1875,4750,81,1282,370,182,139,Soundview-Bruckner-Bronx River
36005005600,17,2863,720,1958,30,618,62,125,70,Soundview-Bruckner-Bronx River
36005005902,16,2577,497,1641,224,592,37,23,60,Concourse-Concourse Village
36005006000,15,1262,315,1013,16,196,11,15,11,West Farms
36005006100,16,3444,474,708,33,2580,24,18,81,Concourse-Concourse Village
36005006200,17,6769,1842,4455,102,1860,117,129,106,Soundview-Bruckner-Bronx River
36005006301,8,6567,1526,4292,323,1579,191,63,119,Concourse-Concourse Village
36005006302,16,19,1,15,0,4,0,0,0,Yankee Stadium-Macombs Dam Park
