ct,tot_,moe_,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino
36005000100,6661,702,4495,593,2166,258,314,93,547,127,53,42,185,81,59,37,0,18,13,22,29,31,0,18,11,21,6,10,0,18,50,39,0,18,0,18,0,18,21,27,0,18,0,18,29,31,0,18,0,18,0,18,958,208,12,22,9,17,0,18,937,212
36005000200,4453,563,1273,410,3180,518,214,202,1675,375,30,50,815,466,249,219,0,13,34,55,101,129,114,171,0,13,0,13,0,13,164,149,22,37,0,13,13,23,0,13,101,142,0,13,0,13,0,13,28,48,0,13,33,51,0,13,0,13,0,13,33,51
36005000400,6000,903,1614,450,4386,941,3,12,2253,715,117,136,1522,759,53,63,38,59,0,18,15,23,0,18,0,18,0,18,0,18,278,206,0,18,0,18,0,18,113,140,122,127,0,18,43,64,0,18,0,18,0,18,160,138,0,18,0,18,0,18,160,138
36005001600,6038,665,2674,610,3364,454,0,18,1915,501,35,49,1093,387,43,57,0,18,0,18,0,18,0,18,43,57,0,18,0,18,136,103,0,18,0,18,59,93,0,18,65,46,0,18,12,18,0,18,0,18,0,18,142,139,0,18,82,115,0,18,60,78
36005001901,2168,263,1013,218,1155,289,102,109,323,179,21,23,446,230,192,160,0,13,0,13,35,59,26,39,0,13,0,13,131,185,51,42,0,13,0,13,0,13,12,18,39,35,0,13,0,13,0,13,0,13,0,13,20,24,0,13,0,13,0,13,20,24
36005001902,1399,403,749,183,650,370,108,67,353,363,0,13,62,51,11,16,0,13,0,13,4,8,0,13,0,13,7,15,0,13,75,81,0,13,0,13,0,13,15,21,49,76,0,13,4,6,0,13,7,14,0,13,41,48,6,14,11,24,0,13,24,46
36005001903,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005001904,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005002001,4694,884,2160,479,2534,740,0,13,1133,358,0,13,1049,635,154,264,0,13,0,13,154,264,0,13,0,13,0,13,0,13,20,45,0,13,0,13,0,13,0,13,20,45,0,13,0,13,0,13,0,13,0,13,178,277,0,13,0,13,0,13,178,277
36005002002,4274,1037,780,388,3494,1030,0,13,1866,955,28,47,1359,634,102,183,0,13,102,183,0,13,0,13,0,13,0,13,0,13,5,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,29,0,13,134,408,0,13,0,13,0,13,134,408
