ct,tot_pop_ancestry,moe_pop_ancestry,tot_afghan,moe_afghan,tot_albanian,moe_albanian,tot_alsatian,moe_alsatian,tot_american,moe_american,tot_arab,moe_arab,tot_arab_egyptian,moe_arab_egyptian,tot_arab_iraqi,moe_arab_iraqi,tot_arab_jordanian,moe_arab_jordanian,tot_arab_lebanese,moe_arab_lebanese,tot_arab_moroccan,moe_arab_moroccan,tot_arab_palestinia,moe_arab_palestinian,tot_arab_syrian,moe_arab_syrian,tot_arab_arab,moe_arab_arab,tot_arab_other_arab,moe_arab_other_arab,tot_armenian,moe_armenian,tot_assyrian/chaldean/syriac,moe_assyrian/chaldean/syriac,tot_australian,moe_australian,tot_austrian,moe_austrian,tot_basque,moe_basque,tot_belgian,moe_belgian,tot_brazilian,moe_brazilian,tot_british,moe_british,tot_bulgarian,moe_bulgarian,tot_cajun,moe_cajun,tot_canadian,moe_canadian,tot_carpatho_rusyn,moe_carpatho_rusyn,tot_celtic,moe_celtic,tot_croatian,moe_croatian,tot_cypriot,moe_cypriot,tot_czech,moe_czech,tot_czechoslovakian,moe_czechoslovakian,tot_danish,moe_danish,tot_dutch,moe_dutch,tot_eastern_european,moe_eastern_european,tot_english,moe_english,tot_estonian,moe_estonian,tot_european,moe_european,tot_finnish,moe_finnish,tot_french_ex_basque,moe_french_ex_basque,tot_french_canadian,moe_french_canadian,tot_german,moe_german,tot_german_russian,moe_german_russian,tot_greek,moe_greek,tot_guyanese,moe_guyanese,tot_hungarian,moe_hungarian,tot_icelander,moe_icelander,tot_iranian,moe_iranian,tot_irish,moe_irish,tot_israeli,moe_israeli,tot_italian,moe_italian,tot_latvian,moe_latvian,tot_lithuanian,moe_lithuanian,tot_luxembourger,moe_luxembourger,tot_macedonian,moe_macedonian,tot_maltese,moe_maltese,tot_new_zealander,moe_new_zealander,tot_northern_european,moe_northern_european,tot_norwegian,moe_norwegian,tot_pennsylvania_german,moe_pennsylvania_german,tot_polish,moe_polish,tot_portuguese,moe_portuguese,tot_romanian,moe_romanian,tot_russian,moe_russian,tot_scandinavian,moe_scandinavian,tot_scotch-irish,moe_scotch-irish,tot_scottish,moe_scottish,tot_serbian,moe_serbian,tot_slavic,moe_slavic,tot_slovak,moe_slovak,tot_slovene,moe_slovene,tot_soviet_union,moe_soviet_union,tot_s_african,moe_s_african,tot_s_african_cape_verdean,moe_s_african_cape_verdean,tot_s_african_ethiopian,moe_s_african_ethiopian,tot_s_african_ghanaian,moe_s_african_ghanaian,tot_s_african_kenyan,moe_s_african_kenyan,tot_s_african_liberian,moe_s_african_liberian,tot_s_african_nigerian,moe_s_african_nigerian,tot_s_african_senegalese,moe_s_african_senegalese,tot_s_african_sierra_leonean,moe_s_african_sierra_leonean,tot_s_african_somali,moe_s_african_somali,tot_s_african_south_african,moe_s_african_south_african,tot_s_african_sudanese,moe_s_african_sudanese,tot_s_african_ugandan,moe_s_african_ugandan,tot_s_african_zimbabwean,moe_s_african_zimbabwean,tot_s_african_african,moe_s_african_african,tot_s_african_other_s_african,moe_s_african_other_s_african,tot_swedish,moe_swedish,tot_swiss,moe_swiss,tot_turkish,moe_turkish,tot_ukrainian,moe_ukrainian,tot_welsh,moe_welsh,tot_w_indians,moe_w_indians,tot_w_indians_bahamian,moe_w_indians_bahamian,tot_w_indians_barbadian,moe_w_indians_barbadian,tot_w_indians_belizean,moe_w_indians_belizean,tot_w_indians_bermudan,moe_w_indians_bermudan,tot_w_indians_british_west_indian,moe_w_indians_british_west_indian,tot_w_indians_dutch_west_indian,moe_w_indians_dutch_west_indian,tot_w_indians_haitian,moe_w_indians_haitian,tot_w_indians_jamaican,moe_w_indians_jamaican,tot_w_indians_trinidadian_and_tobagonian,moe_w_indians_trinidadian_and_tobagonian,tot_w_indians_u.s._virgin_islander,moe_w_indians_u.s._virgin_islander,tot_w_indians_west_indian,moe_w_indians_west_indian,tot_w_indians_other_west_indian,moe_w_indians_other_west_indian,tot_yugoslavian,moe_yugoslavian,tot_other_groups,moe_other_groups,tot_unclass_not_rep,moe_unclass_not_rep,tot_pop_hisp_origin,moe_pop_hisp_origin,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino,tot_pop_asian,moe_pop_asian,tot_asian_indian,moe_asian_indian,tot_bangladeshi,moe_bangladeshi,tot_bhutanese,moe_bhutanese,tot_burmese,moe_burmese,tot_cambodian,moe_cambodian,"tot_chinese,_except_taiwanese","moe_chinese,_except_taiwanese",tot_filipino,moe_filipino,tot_hmong,moe_hmong,tot_indonesian,moe_indonesian,tot_japanese,moe_japanese,tot_korean,moe_korean,tot_laotian,moe_laotian,tot_malaysian,moe_malaysian,tot_mongolian,moe_mongolian,tot_nepalese,moe_nepalese,tot_okinawan,moe_okinawan,tot_pakistani,moe_pakistani,tot_sri_lankan,moe_sri_lankan,tot_taiwanese,moe_taiwanese,tot_thai,moe_thai,tot_vietnamese,moe_vietnamese,"tot_other_asian,_specified","moe_other_asian,_specified","tot_other_asian,_not_specified","moe_other_asian,_not_specified",tot_two_or_more_asian,moe_two_or_more_asian
36005000100,6661,702,0,18,0,18,0,18,123,70,46,42,0,18,0,18,0,18,0,18,0,18,0,18,0,18,46,42,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,12,22,0,18,0,18,0,18,0,18,0,18,0,18,0,18,7,13,0,18,0,18,0,18,0,18,0,18,7,13,0,18,26,27,0,18,13,22,14,17,0,18,0,18,12,22,37,53,0,18,45,37,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,10,17,8,15,0,18,57,57,0,18,0,18,17,30,0,18,0,18,0,18,0,18,0,18,42,30,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,13,22,0,18,0,18,5,10,24,23,0,18,0,18,0,18,22,28,0,18,70,48,0,18,0,18,0,18,0,18,0,18,0,18,43,39,21,27,6,12,0,18,0,18,0,18,0,18,5627,475,558,317,6661,702,4495,593,2166,258,314,93,547,127,53,42,185,81,59,37,0,18,13,22,29,31,0,18,11,21,6,10,0,18,50,39,0,18,0,18,0,18,21,27,0,18,0,18,29,31,0,18,0,18,0,18,958,208,12,22,9,17,0,18,937,212,177,76,32,34,9,15,0,18,0,18,0,18,81,55,32,34,0,18,0,18,0,18,13,22,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,10,18,0,18
36005000200,4453,563,0,13,0,13,0,13,60,85,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,22,0,13,77,94,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,97,150,0,13,0,13,0,13,0,13,0,13,97,150,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,180,154,0,13,0,13,0,13,0,13,0,13,0,13,0,13,149,146,31,50,116,135,0,13,0,13,0,13,3577,511,543,268,4453,563,1273,410,3180,518,214,202,1675,375,30,50,815,466,249,219,0,13,34,55,101,129,114,171,0,13,0,13,0,13,164,149,22,37,0,13,13,23,0,13,101,142,0,13,0,13,0,13,28,48,0,13,33,51,0,13,0,13,0,13,33,51,160,141,147,137,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005000400,6000,903,0,18,0,18,0,18,217,137,3,13,3,13,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,59,61,0,18,0,18,0,18,20,30,47,71,27,53,0,18,0,18,16,24,0,18,0,18,0,18,154,234,0,18,113,98,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,31,50,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,20,30,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,20,30,0,18,0,18,0,18,0,18,0,18,0,18,226,101,0,18,0,18,26,41,0,18,24,24,0,18,31,48,94,69,0,18,0,18,69,67,0,18,0,18,4763,970,616,335,6000,903,1614,450,4386,941,3,12,2253,715,117,136,1522,759,53,63,38,59,0,18,15,23,0,18,0,18,0,18,0,18,278,206,0,18,0,18,0,18,113,140,122,127,0,18,43,64,0,18,0,18,0,18,160,138,0,18,0,18,0,18,160,138,177,158,13,23,0,18,0,18,0,18,0,18,164,161,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36005001600,6038,665,14,21,0,18,0,18,69,76,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,9,15,8,12,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,61,94,0,18,42,46,0,18,0,18,9,14,0,18,0,18,0,18,27,29,0,18,14,14,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,25,40,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,836,416,0,18,0,18,434,372,0,18,0,18,87,107,0,18,0,18,0,18,0,18,0,18,0,18,0,18,315,199,0,18,0,18,0,18,0,18,0,18,0,18,129,92,0,18,27,40,0,18,0,18,0,18,0,18,0,18,95,81,7,14,0,18,0,18,0,18,0,18,3849,584,1221,416,6038,665,2674,610,3364,454,0,18,1915,501,35,49,1093,387,43,57,0,18,0,18,0,18,0,18,43,57,0,18,0,18,136,103,0,18,0,18,59,93,0,18,65,46,0,18,12,18,0,18,0,18,0,18,142,139,0,18,82,115,0,18,60,78,65,89,10,15,0,18,0,18,0,18,0,18,0,18,47,89,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,8,15,0,18
36005001901,2168,263,0,13,0,13,0,13,77,64,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,14,0,13,6,9,0,13,0,13,0,13,21,25,0,13,39,31,0,13,0,13,15,22,0,13,0,13,0,13,50,32,0,13,62,37,17,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,27,27,43,0,13,6,10,0,13,0,13,17,18,0,13,0,13,0,13,0,13,0,13,53,45,0,13,0,13,0,13,0,13,0,13,0,13,5,11,0,13,0,13,0,13,0,13,0,13,0,13,48,44,0,13,8,12,0,13,0,13,11,15,14,15,302,199,0,13,9,12,12,25,0,13,175,195,0,13,23,33,27,41,59,72,0,13,0,13,0,13,0,13,1399,283,294,181,2168,263,1013,218,1155,289,102,109,323,179,21,23,446,230,192,160,0,13,0,13,35,59,26,39,0,13,0,13,131,185,51,42,0,13,0,13,0,13,12,18,39,35,0,13,0,13,0,13,0,13,0,13,20,24,0,13,0,13,0,13,20,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005001902,1399,403,0,13,0,13,0,13,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,6,30,30,0,13,0,13,12,25,0,13,0,13,0,13,31,34,14,21,56,51,0,13,22,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,36,40,83,119,10,15,0,13,0,13,0,13,15,22,0,13,0,13,0,13,0,13,0,13,59,66,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,6,0,13,0,13,0,13,56,66,0,13,0,13,0,13,0,13,0,13,0,13,13,13,0,13,0,13,3,6,0,13,0,13,0,13,0,13,10,12,0,13,0,13,0,13,0,13,0,13,1011,391,107,59,1399,403,749,183,650,370,108,67,353,363,0,13,62,51,11,16,0,13,0,13,4,8,0,13,0,13,7,15,0,13,75,81,0,13,0,13,0,13,15,21,49,76,0,13,4,6,0,13,7,14,0,13,41,48,6,14,11,24,0,13,24,46,55,47,41,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005001903,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005001904,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005002001,4694,884,0,13,0,13,0,13,70,108,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,33,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,80,105,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,80,105,0,13,0,13,0,13,0,13,0,13,0,13,134,147,0,13,0,13,0,13,0,13,10,17,0,13,0,13,37,50,0,13,0,13,87,141,0,13,0,13,4314,922,321,228,4694,884,2160,479,2534,740,0,13,1133,358,0,13,1049,635,154,264,0,13,0,13,154,264,0,13,0,13,0,13,0,13,20,45,0,13,0,13,0,13,0,13,20,45,0,13,0,13,0,13,0,13,0,13,178,277,0,13,0,13,0,13,178,277,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005002002,4274,1037,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,20,0,13,0,13,0,13,0,13,0,13,0,13,135,161,0,13,0,13,0,13,0,13,0,13,0,13,0,13,115,146,0,13,0,13,20,97,0,13,0,13,2800,711,1410,854,4274,1037,780,388,3494,1030,0,13,1866,955,28,47,1359,634,102,183,0,13,102,183,0,13,0,13,0,13,0,13,0,13,5,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,29,0,13,134,408,0,13,0,13,0,13,134,408,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
