ct,cd,tot_pov_pop,below_pov_pop
36005000100,22,0,0
36005000200,18,4453,1014
36005000400,18,6000,240
36005001600,18,5826,951
36005001901,8,2164,596
36005001902,8,1270,277
36005001903,8,0,0
36005001904,17,0,0
36005002001,18,4694,2187
36005002002,18,4184,1480
36005002300,8,4464,1881
36005002400,18,0,0
36005002500,8,5642,2557
36005002701,8,2901,1665
36005002702,8,4303,2415
36005002800,18,5338,153
36005003100,8,2165,372
36005003300,8,3289,1737
36005003500,8,3880,1496
36005003700,8,262,80
36005003800,18,1270,171
36005003900,8,6671,2656
36005004001,18,1574,303
36005004100,8,5773,2801
36005004200,18,7747,1833
36005004300,8,5514,1959
36005004400,18,4365,2214
36005004600,18,1745,880
36005004800,18,4438,1157
36005005001,18,4216,2141
36005005002,18,6347,2493
36005005100,8,6075,3260
36005005200,17,1833,763
36005005300,16,5446,3022
36005005400,17,5638,1522
36005005600,17,2168,693
36005005902,16,2730,440
36005006000,15,1295,430
36005006100,16,3955,461
36005006200,17,6710,2501
36005006301,8,5521,1605
36005006302,16,0,0
36005006400,18,4008,1400
36005006500,17,5632,2707
36005006700,17,6993,3762
36005006800,18,2765,873
36005006900,17,7249,2524
36005007000,18,4214,898
36005007100,17,2769,556
36005007200,18,6409,967
36005007300,8,4247,1740
36005007400,18,3078,903
36005007500,17,6295,2285
36005007600,18,5264,977
36005007700,17,2161,522
36005007800,18,6245,1078
36005007900,8,7151,3188
36005008300,17,6112,1306
36005008400,18,3285,211
36005008500,17,5539,1645
36005008600,18,4032,1687
36005008700,17,6202,2499
36005008900,17,3187,605
36005009000,18,3632,1194
36005009200,18,6087,1383
36005009301,17,4794,1711
36005009302,17,0,0
36005009600,18,2515,407
36005009800,18,4569,687
36005011000,13,0,0
36005011502,17,4096,1737
36005011701,17,1608,643
36005011702,17,0,0
36005011800,13,4611,410
36005011900,17,6168,1924
36005012101,17,3232,910
36005012102,17,1452,360
36005012300,17,4574,697
36005012500,17,4012,1286
36005012701,17,2178,622
36005012901,17,4772,1716
36005013000,13,1297,321
36005013100,17,5246,1948
36005013200,13,7287,487
36005013300,17,6211,1482
36005013500,17,3492,1630
36005013800,13,3077,362
36005014100,17,6366,2087
36005014300,16,1579,659
36005014400,13,5643,1838
36005014500,16,6770,3037
36005014701,16,5764,2655
36005014702,16,5157,2523
36005014900,17,4489,2046
36005015100,17,5263,1801
36005015200,13,2479,333
36005015300,17,4169,1193
36005015500,17,3089,777
36005015700,17,5146,1743
36005015800,13,1422,355
36005015900,17,2159,731
36005016000,13,3891,483
36005016100,17,4787,1913
36005016200,13,1524,108
36005016300,15,0,0
36005016400,13,1074,262
36005016500,15,1074,199
36005016600,13,2383,313
36005016700,15,3652,1339
36005016900,16,1634,633
36005017100,16,0,0
36005017300,16,6363,2611
36005017500,16,6747,2677
36005017701,16,4158,2085
36005017702,16,5412,1537
36005017901,16,4751,1342
36005017902,16,4138,1319
36005018101,16,3498,1072
