geoid,ct,pop,households,grp_qtrs,inst,pop_u18,hisp,white,black,asian,other_race,multiracial,housing,occupied,vacant
36005000100,2000100,3772,27,3745,3745,12,1259,260,2172,59,12,10,1,0,1
36005000200,2000200,4779,4771,8,0,1065,3173,152,1011,202,115,126,1594,1517,77
36005000400,2000400,6272,6258,14,0,1337,3972,238,1592,230,91,149,2200,2110,90
36005001600,2001600,5795,5565,230,205,1251,3479,121,1884,122,81,108,2129,2042,87
36005001901,2001901,2292,2258,34,0,567,1089,250,803,39,35,76,1049,988,61
36005001902,2001902,1613,1045,568,0,293,854,165,524,13,21,36,523,484,39
36005001903,2001903,2,2,0,0,0,2,0,0,0,0,0,3,3,0
36005001904,2001904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005002001,2002001,5007,4855,152,0,1394,3023,68,1755,21,59,81,1895,1864,31
36005002002,2002002,4584,4584,0,0,1140,3058,66,1169,78,112,101,1624,1561,63
36005002300,2002300,4742,4735,7,0,1265,3045,67,1473,19,57,81,1901,1867,34
36005002400,2002400,6,6,0,0,1,3,1,0,0,0,2,2,2,0
36005002500,2002500,5442,5342,100,0,1491,4135,105,1048,53,26,75,1958,1872,86
36005002701,2002701,3080,3038,42,0,910,2063,35,900,28,15,39,1206,1093,113
36005002702,2002702,4995,4373,622,0,1571,3318,94,1398,55,38,92,1576,1510,66
36005002800,2002800,5853,5845,8,0,1045,1647,89,3889,38,39,151,2629,2581,48
36005003100,2003100,2964,2964,0,0,916,1780,35,1014,58,32,45,1120,1086,34
36005003300,2003300,3689,3521,168,0,1038,2453,55,1066,16,30,69,1288,1207,81
36005003500,2003500,3726,3654,72,0,959,2592,122,924,25,32,31,1360,1284,76
36005003700,2003700,340,306,34,0,87,194,5,123,0,6,12,136,128,8
36005003800,2003800,1683,1497,186,0,521,1082,18,475,49,27,32,530,515,15
36005003900,2003900,6345,6069,276,0,1535,5107,249,823,37,65,64,2159,2041,118
36005004001,2004001,1739,1739,0,0,380,740,125,220,566,29,59,613,589,24
36005004100,2004100,6146,6109,37,0,1698,4083,94,1819,35,37,78,2192,2109,83
36005004200,2004200,7201,7168,33,0,1642,4313,90,2581,63,47,107,2843,2798,45
36005004300,2004300,5883,5666,217,0,1577,4174,130,1409,43,33,94,2198,2118,80
36005004400,2004400,4642,4467,175,175,1138,2809,88,1437,180,54,74,1752,1711,41
36005004600,2004600,1976,1900,76,0,516,1187,53,673,4,14,45,743,728,15
36005004800,2004800,4184,4021,163,0,1093,3263,64,646,67,95,49,1358,1328,30
36005005001,2005001,4960,4793,167,0,1470,3463,81,1191,95,68,62,1630,1551,79
36005005002,2005002,6518,6090,428,0,1944,4973,104,1051,139,133,118,2047,1937,110
36005005100,2005100,6459,6341,118,0,1712,3963,163,2131,55,48,99,2490,2434,56
36005005200,2005200,2130,2130,0,0,549,1483,20,543,34,25,25,879,820,59
36005005300,2005300,4371,4371,0,0,1402,2038,38,2092,12,50,141,1662,1628,34
36005005400,2005400,6804,6783,21,0,1875,4750,81,1282,370,182,139,2037,1964,73
36005005600,2005600,2863,2863,0,0,720,1958,30,618,62,125,70,1054,1005,49
36005005902,2005902,2577,2577,0,0,497,1641,224,592,37,23,60,1172,1057,115
36005006000,2006000,1262,1259,3,0,315,1013,16,196,11,15,11,428,408,20
36005006100,2006100,3444,3440,4,0,474,708,33,2580,24,18,81,1893,1821,72
36005006200,2006200,6769,6732,37,0,1842,4455,102,1860,117,129,106,2471,2403,68
36005006301,2006301,6567,6244,323,0,1526,4292,323,1579,191,63,119,2498,2414,84
36005006302,2006302,19,0,19,0,1,15,0,4,0,0,0,0,0,0
36005006400,2006400,4186,4160,26,0,990,2227,106,1225,312,185,131,1438,1341,97
36005006500,2006500,6251,6013,238,36,1679,4045,225,1704,69,101,107,2294,2229,65
36005006700,2006700,6893,6749,144,0,1823,4895,117,1687,52,69,73,2439,2365,74
36005006800,2006800,3419,3419,0,0,902,1899,60,814,397,149,100,1188,1124,64
36005006900,2006900,6964,6845,119,0,1821,4179,124,2440,72,49,100,2644,2555,89
36005007000,2007000,5021,4911,110,0,1222,2616,105,884,1051,217,148,1605,1508,97
36005007100,2007100,2789,2786,3,0,674,1584,66,1003,61,23,52,1134,1121,13
36005007200,2007200,6291,6245,46,0,1543,2498,309,685,2535,146,118,1968,1913,55
36005007300,2007300,4205,4053,152,0,1239,2804,80,1165,19,62,75,1470,1435,35
36005007400,2007400,3536,3536,0,0,712,2047,57,1194,132,29,77,1466,1406,60
36005007500,2007500,6749,6431,318,0,1814,4218,199,2080,72,75,105,2422,2363,59
36005007600,2007600,5682,5682,0,0,1439,3588,170,946,697,167,114,1915,1821,94
36005007700,2007700,1974,1919,55,0,499,1445,61,410,14,12,32,653,628,25
36005007800,2007800,7037,7016,21,0,1809,3969,230,995,1481,201,161,2324,2230,94
36005007900,2007900,6826,6665,161,0,1869,4889,101,1622,67,60,87,2425,2320,105
36005008300,2008300,6122,5968,154,13,1614,4849,72,1048,48,52,53,2161,2084,77
36005008400,2008400,2587,2574,13,13,605,1439,33,830,206,55,24,817,771,46
36005008500,2008500,5894,5350,544,0,1628,4288,141,1245,59,70,91,2052,1936,116
36005008600,2008600,4145,4141,4,0,1048,2457,35,1401,106,75,71,1507,1475,32
36005008700,2008700,5976,5762,214,109,1604,4334,84,1397,15,72,74,2057,1991,66
36005008900,2008900,3118,2943,175,0,727,2371,88,585,28,29,17,1221,1151,70
36005009000,2009000,3911,3668,243,0,1064,2488,60,1141,86,75,61,1303,1249,54
36005009200,2009200,6271,6271,0,0,1570,3031,385,830,1581,242,202,2200,2121,79
36005009301,2009301,5551,5445,106,6,1483,4031,85,1281,33,45,76,1905,1810,95
36005009302,2009302,512,39,473,0,25,195,32,263,14,3,5,10,10,0
36005009600,2009600,2946,2742,204,204,669,1451,191,392,690,142,80,902,859,43
36005009800,2009800,5903,5877,26,0,1254,3638,171,1185,507,226,176,2123,2060,63
36005011000,2011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005011502,2011502,4396,4116,280,0,1347,3055,44,1186,28,28,55,1509,1433,76
36005011701,2011701,1554,1538,16,0,406,1063,15,437,5,4,30,593,584,9
36005011702,2011702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005011800,2011800,5324,4110,1214,31,776,1511,3338,148,177,42,108,1794,1676,118
36005011900,2011900,5703,5640,63,22,1427,4008,125,1429,25,50,66,2038,1962,76
36005012101,2012101,3319,3129,190,22,853,2234,53,909,26,45,52,1104,1042,62
36005012102,2012102,1616,1529,87,0,460,1225,20,332,5,11,23,532,508,24
36005012300,2012300,4766,4673,93,0,1275,3126,61,1413,37,55,74,1818,1756,62
