ed,cd,hochul,zeldin,gov_votes,voters_nov22
23001,32,213.0,918.0,1139.0,1625.0
23002,32,186.0,877.0,1069.0,1644.0
23003,32,74.0,252.0,329.0,533.0
23004,32,288.0,738.0,1032.0,1678.0
23005,32,250.0,829.0,1086.0,1659.0
23006,32,275.0,754.0,1038.0,1553.0
23007,32,319.0,768.0,1100.0,1770.0
23008,32,324.0,497.0,829.0,1515.0
23009,32,241.0,242.0,487.0,1248.0
23010,32,319.0,656.0,984.0,1803.0
23011,32,376.0,195.0,579.0,1541.0
23012,32,139.0,58.0,199.0,529.0
23013,32,355.0,197.0,557.0,1289.0
23014,32,250.0,276.0,530.0,1101.0
23015,32,302.0,304.0,613.0,1452.0
23016,32,201.0,151.0,354.0,820.0
23017,32,130.0,423.0,555.0,907.0
23018,31,397.0,155.0,557.0,1123.0
23019,31,67.0,5.0,73.0,278.0
23020,31,339.0,53.0,397.0,1543.0
23021,31,342.0,145.0,492.0,1631.0
23022,31,149.0,12.0,162.0,704.0
23023,31,290.0,175.0,474.0,1297.0
23024,31,226.0,44.0,274.0,700.0
23025,31,277.0,262.0,552.0,1717.0
23026,31,202.0,130.0,335.0,848.0
23027,31,121.0,834.0,959.0,1704.0
23028,31,225.0,169.0,398.0,1335.0
23029,31,98.0,510.0,614.0,1248.0
23030,31,152.0,492.0,650.0,1439.0
23031,31,309.0,286.0,601.0,1524.0
23032,31,329.0,437.0,777.0,1721.0
23033,32,156.0,779.0,937.0,1663.0
23034,32,168.0,640.0,809.0,1401.0
23035,32,119.0,695.0,821.0,1308.0
23036,32,140.0,683.0,827.0,1529.0
23037,32,216.0,581.0,802.0,1617.0
23038,32,145.0,572.0,720.0,1387.0
23039,28,23.0,10.0,33.0,164.0
23040,28,158.0,118.0,278.0,1173.0
23041,32,158.0,268.0,428.0,1182.0
23042,32,141.0,157.0,298.0,968.0
23043,32,7.0,4.0,11.0,25.0
23044,32,387.0,499.0,894.0,1702.0
23045,32,263.0,324.0,589.0,1114.0
23046,32,308.0,296.0,609.0,1714.0
23047,32,218.0,237.0,459.0,1219.0
23048,32,225.0,315.0,544.0,1323.0
23049,32,293.0,307.0,604.0,1577.0
