ed,hochul,zeldin,gov_votes
23001,213.0,918.0,1139.0
23002,186.0,877.0,1069.0
23003,74.0,252.0,329.0
23004,288.0,738.0,1032.0
23005,250.0,829.0,1086.0
23006,275.0,754.0,1038.0
23007,319.0,768.0,1100.0
23008,324.0,497.0,829.0
23009,241.0,242.0,487.0
23010,319.0,656.0,984.0
23011,376.0,195.0,579.0
23012,139.0,58.0,199.0
23013,355.0,197.0,557.0
23014,250.0,276.0,530.0
23015,302.0,304.0,613.0
23016,201.0,151.0,354.0
23017,130.0,423.0,555.0
23018,397.0,155.0,557.0
23019,67.0,5.0,73.0
23020,339.0,53.0,397.0
23021,342.0,145.0,492.0
23022,149.0,12.0,162.0
23023,290.0,175.0,474.0
23024,226.0,44.0,274.0
23025,277.0,262.0,552.0
23026,202.0,130.0,335.0
23027,121.0,834.0,959.0
23028,225.0,169.0,398.0
23029,98.0,510.0,614.0
23030,152.0,492.0,650.0
23031,309.0,286.0,601.0
23032,329.0,437.0,777.0
23033,156.0,779.0,937.0
23034,168.0,640.0,809.0
23035,119.0,695.0,821.0
23036,140.0,683.0,827.0
23037,216.0,581.0,802.0
23038,145.0,572.0,720.0
23039,23.0,10.0,33.0
23040,158.0,118.0,278.0
23041,158.0,268.0,428.0
23042,141.0,157.0,298.0
23043,7.0,4.0,11.0
23044,387.0,499.0,894.0
23045,263.0,324.0,589.0
23046,308.0,296.0,609.0
23047,218.0,237.0,459.0
23048,225.0,315.0,544.0
23049,293.0,307.0,604.0
23050,90.0,111.0,202.0
23051,207.0,142.0,351.0
23052,139.0,76.0,218.0
23053,208.0,149.0,364.0
23054,219.0,138.0,361.0
23055,57.0,64.0,121.0
23056,82.0,86.0,169.0
23057,106.0,92.0,199.0
23058,81.0,309.0,391.0
23059,73.0,308.0,384.0
23060,167.0,251.0,421.0
23061,4.0,8.0,12.0
23062,249.0,215.0,469.0
23200,0.0,0.0,0.0
23201,0.0,0.0,0.0
23202,0.0,0.0,0.0
23203,0.0,0.0,0.0
23204,0.0,0.0,0.0
23205,0.0,0.0,0.0
23206,0.0,0.0,0.0
23207,0.0,0.0,0.0
23208,0.0,0.0,0.0
23209,0.0,0.0,0.0
23210,0.0,0.0,0.0
23211,0.0,0.0,0.0
23212,0.0,0.0,0.0
23213,0.0,0.0,0.0
23214,0.0,0.0,0.0
23215,0.0,0.0,0.0
23216,0.0,0.0,0.0
23217,0.0,0.0,0.0
23218,0.0,0.0,0.0
23219,0.0,0.0,0.0
23220,0.0,0.0,0.0
23221,0.0,0.0,0.0
23222,0.0,0.0,0.0
23223,0.0,0.0,0.0
23224,0.0,0.0,0.0
23225,0.0,0.0,0.0
23226,0.0,0.0,0.0
23227,0.0,0.0,0.0
