cd,adj_pop,adj_O18_pop,new_pop,pop_u18,hisp,white,black,asian,other_race,multiracial,pre_pop,pre_pop_u18,pre_hisp,pre_white,pre_black,pre_asian,pre_other_race,pre_multiracial,lar_grp1,lar_grp2,lar_grp3,lar_pop1,lar_pop2,lar_pop3,dem,rep,blank,third_parties,dem_old,rep_old,blank_old,third_parties_old,prim_adams,prim_wiley,prim_garcia,prim_yang,prim_stringer,prim_morales,prim_mcguire,prim_donovan,prim_votes,adams,sliwa,mayor_votes,hochul,zeldin,gov_votes,voters_nov22,tot_pov_pop,below_pov_pop,pct_pov,incumbent,boro,party,ntas
2,177066.0,160596.0,182133,17026,32796,102054,11676,26372,1867,7368,173399,16418,33722,92526,12058,26609,1790,6694,Irish,Puerto Rican,"Chinese, Except Taiwanese",16113,14982,14712,68514.0,6286.0,18117.0,2272.0,66497.0,6505.0,17994.0,2341.0,3461.0,6674.0,9866.0,2958.0,1848.0,657.0,856.0,675.0,27451.0,21310.0,3780.0,27432.0,38995.0,7225.0,47037.0,100038.0,160853,28411,17.7,Carlina Rivera,m,D,"East Village, Gramercy Park, Kips Bay, Lower East Side, Murray Hill, Rose 
Hill"
3,177136.0,161217.0,179601,15917,27679,103910,11162,28048,1655,7147,202572,17733,29541,120965,11324,30758,1887,8097,Irish,Italian,English,17686,16218,13688,66241.0,6671.0,18781.0,2181.0,74799.0,7632.0,21332.0,2416.0,3331.0,6458.0,10647.0,3056.0,2155.0,478.0,914.0,768.0,28177.0,22082.0,3540.0,27695.0,42012.0,7866.0,50703.0,99542.0,157822,17479,11.1,Erik Bottcher,m,D,"Chelsea, Hell’s Kitchen, Greenwich Village, West SoHo, Hudson Square, Times 
Square, Garment District, Flatiron, Upper West Side"
4,177190.0,156901.0,173004,20415,12689,121656,4598,26423,1388,6250,184083,22389,14232,128313,5728,27837,1441,6532,Irish,Italian,German,17316,12816,11979,58208.0,13296.0,21631.0,2697.0,61753.0,14361.0,22908.0,2868.0,3871.0,3660.0,10784.0,3031.0,1668.0,271.0,1995.0,871.0,26376.0,23169.0,6089.0,30930.0,40681.0,14690.0,56289.0,101481.0,154798,10429,6.7,Keith Powers,m,D,"Upper East Side, Carnegie Hill, Yorkville, Central Park South, Midtown 
East, Times Square, Koreatown, Stuyvesant Town and Peter Cooper Village, 
Waterside Plaza, Tudor City, Turtle Bay, Murray Hill, Sutton Place"
5,177075.0,152695.0,173457,24259,14920,123033,5489,21903,1403,6709,181432,24728,16938,125312,6372,24310,1495,7005,Irish,Italian,German,16569,15387,12220,61790.0,11234.0,20495.0,2575.0,63565.0,10824.0,20684.0,2601.0,4091.0,4937.0,11858.0,3261.0,1903.0,369.0,1610.0,942.0,29306.0,26170.0,6456.0,34650.0,44049.0,13413.0,58321.0,99339.0,162685,11603,7.1,Julie Menin,m,D,"Upper East Side's Yorkville, Lenox Hill, Carnegie Hill, Roosevelt Island, 
Midtown East, Sutton Place, El Barrio in East Harlem"
6,176623.0,151113.0,178772,25680,21024,119498,8701,20458,1639,7452,181471,27266,21660,122327,9375,18570,1736,7803,Irish,German,Italian,14377,13713,13643,75311.0,7673.0,18705.0,2150.0,82973.0,7363.0,18573.0,2187.0,4870.0,6239.0,16708.0,3311.0,3452.0,475.0,1775.0,889.0,38066.0,31454.0,4810.0,38742.0,53912.0,10388.0,65342.0,110517.0,170323,15427,9.1,Gale A. Brewer,m,D,"Central Park, Lincoln Square, Upper West Side, Clinton"
7,176905.0,152716.0,174892,23736,59678,62035,26747,17779,1968,6685,164976,22898,68100,46140,27493,15618,1808,5817,Dominican,Puerto Rican,Irish,32468,10163,9551,82031.0,3967.0,15200.0,2124.0,73910.0,3388.0,13792.0,1986.0,5830.0,7822.0,9568.0,2065.0,2713.0,1010.0,1022.0,688.0,31406.0,25695.0,2623.0,31462.0,40344.0,4831.0,45971.0,107632.0,170884,34090,19.9,Shaun Abreu,m,D,"m Valley, mville, Morningside Heights, Hamilton Heights"
11,175470.0,139072.0,176118,36437,76394,43755,35749,12714,3011,4495,165494,34176,74257,43692,28190,12543,2678,4134,Dominican,Puerto Rican,Irish,33351,20975,11158,63110.0,6409.0,15759.0,2443.0,58906.0,6307.0,14961.0,2335.0,5539.0,3674.0,4317.0,1958.0,1632.0,539.0,495.0,690.0,19316.0,15409.0,5177.0,22083.0,26758.0,8563.0,35829.0,91717.0,170669,31169,18.3,Eric Dinowitz,bx,D,"Bedford Park, Kingsbridge, Riverdale, Norwood, Van Cortlandt Village, 
Wakefield, Woodlawn"
12,175452.0,138257.0,181064,38704,53054,5555,111680,3698,2427,4650,176523,37318,47509,4847,113704,3271,2541,4651,W Indians Jamaican,Puerto Rican,Dominican,37933,25677,18204,75133.0,3291.0,13963.0,2243.0,76023.0,3268.0,14065.0,2263.0,10914.0,3664.0,855.0,1007.0,813.0,355.0,576.0,653.0,19246.0,18998.0,1830.0,21518.0,29348.0,3188.0,32907.0,94041.0,185467,31060,16.7,Kevin C. Riley,bx,D,"Wakefield, Olinville, Edenwald, Eastchester, Williamsbridge, Baychester, 
Co-op City"
14,175592.0,132903.0,168971,41420,122386,4860,33487,4069,1874,2295,168535,41060,122951,4856,32618,3989,1875,2246,Dominican,Puerto Rican,Mexican,74838,22731,11706,60219.0,3857.0,13629.0,1660.0,58667.0,3681.0,13175.0,1581.0,4793.0,1464.0,748.0,1004.0,426.0,732.0,228.0,237.0,10238.0,8556.0,1659.0,10977.0,12864.0,3544.0,16694.0,77649.0,165155,49921,30.2,Pierina Ana Sanchez,bx,D,"Morris Heights, University Heights, Fordham, Kingsbridge"
15,173536.0,129432.0,172242,43862,112541,8504,43245,3199,2070,2683,174158,43839,110629,10469,43373,4207,2318,3162,Dominican,Puerto Rican,Mexican,56145,34033,12814,55658.0,3379.0,12982.0,1738.0,54623.0,3518.0,13041.0,1654.0,4318.0,1367.0,705.0,858.0,369.0,597.0,222.0,267.0,9208.0,7979.0,1495.0,10236.0,12644.0,2946.0,15886.0,75580.0,170751,58451,34.2,Oswald Feliz,bx,D,"Bedford Park, Fordham, Mount Hope, Bathgate, Belmont, East Tremont, West 
Farms, Van Nest, Allerton, Olinville"
