ed,cd,dem,rep,con,wor,oth,blank,total
23001,32,549.0,674.0,73.0,2.0,63.0,281.0,1642.0
23002,32,575.0,648.0,67.0,4.0,53.0,294.0,1641.0
23003,32,211.0,180.0,11.0,1.0,20.0,112.0,535.0
23004,32,689.0,564.0,17.0,2.0,50.0,343.0,1665.0
23005,32,703.0,583.0,21.0,2.0,41.0,289.0,1639.0
23006,32,634.0,559.0,28.0,0.0,49.0,286.0,1556.0
23007,32,783.0,560.0,27.0,2.0,65.0,327.0,1764.0
23008,32,732.0,351.0,26.0,4.0,57.0,296.0,1466.0
23009,32,689.0,241.0,14.0,5.0,37.0,222.0,1208.0
23010,32,877.0,479.0,18.0,2.0,73.0,298.0,1747.0
23011,32,1010.0,144.0,10.0,5.0,30.0,287.0,1486.0
23012,32,340.0,58.0,1.0,2.0,25.0,95.0,521.0
23013,32,820.0,132.0,11.0,7.0,29.0,239.0,1238.0
23014,32,581.0,221.0,8.0,2.0,31.0,248.0,1091.0
23015,32,787.0,279.0,8.0,4.0,43.0,323.0,1444.0
23016,32,468.0,140.0,6.0,2.0,24.0,172.0,812.0
23017,32,386.0,300.0,5.0,2.0,31.0,178.0,902.0
23018,31,691.0,122.0,2.0,4.0,16.0,237.0,1072.0
23019,31,196.0,12.0,0.0,1.0,6.0,49.0,264.0
23020,31,1395.0,74.0,8.0,12.0,42.0,367.0,1898.0
23021,31,1160.0,125.0,7.0,10.0,38.0,254.0,1594.0
23022,31,534.0,23.0,1.0,4.0,5.0,114.0,681.0
23023,31,435.0,216.0,2.0,1.0,24.0,172.0,850.0
23024,31,534.0,41.0,1.0,5.0,9.0,88.0,678.0
23025,31,1161.0,191.0,12.0,8.0,28.0,275.0,1675.0
23026,31,567.0,117.0,5.0,2.0,8.0,97.0,796.0
23027,31,999.0,392.0,8.0,1.0,12.0,282.0,1694.0
23028,31,928.0,117.0,4.0,3.0,23.0,210.0,1285.0
23029,31,697.0,242.0,5.0,2.0,17.0,256.0,1219.0
23030,31,866.0,267.0,6.0,2.0,18.0,260.0,1419.0
23031,31,1010.0,175.0,2.0,0.0,24.0,272.0,1483.0
23032,31,1120.0,263.0,10.0,1.0,31.0,270.0,1695.0
23033,32,534.0,687.0,23.0,3.0,50.0,350.0,1647.0
23034,32,483.0,568.0,16.0,3.0,38.0,286.0,1394.0
23035,32,420.0,597.0,12.0,2.0,37.0,245.0,1313.0
23036,32,536.0,615.0,21.0,4.0,38.0,287.0,1501.0
23037,32,654.0,497.0,18.0,5.0,43.0,366.0,1583.0
23038,32,508.0,453.0,14.0,4.0,50.0,321.0,1350.0
23039,28,96.0,15.0,1.0,0.0,3.0,51.0,166.0
23040,28,669.0,109.0,9.0,6.0,26.0,294.0,1113.0
