county,elect_dist,status,dem,rep,con,wor,oth,blank,total
Queens,23001,Total,564.0,687.0,73.0,2.0,66.0,291.0,1683.0
Queens,23002,Total,600.0,676.0,67.0,4.0,55.0,308.0,1710.0
Queens,23003,Total,225.0,188.0,11.0,1.0,22.0,117.0,564.0
Queens,23004,Total,741.0,591.0,17.0,2.0,53.0,371.0,1775.0
Queens,23005,Total,746.0,612.0,22.0,2.0,45.0,303.0,1730.0
Queens,23006,Total,673.0,586.0,28.0,0.0,54.0,305.0,1646.0
Queens,23007,Total,843.0,597.0,28.0,2.0,68.0,350.0,1888.0
Queens,23008,Total,808.0,377.0,28.0,5.0,64.0,323.0,1605.0
Queens,23009,Total,787.0,267.0,15.0,7.0,46.0,259.0,1381.0
Queens,23010,Total,950.0,509.0,21.0,7.0,82.0,332.0,1901.0
Queens,23011,Total,1142.0,168.0,11.0,6.0,37.0,334.0,1698.0
Queens,23012,Total,390.0,65.0,2.0,2.0,29.0,109.0,597.0
Queens,23013,Total,926.0,144.0,12.0,11.0,36.0,269.0,1398.0
Queens,23014,Total,607.0,234.0,8.0,2.0,32.0,260.0,1143.0
Queens,23015,Total,822.0,287.0,9.0,4.0,45.0,336.0,1503.0
Queens,23016,Total,500.0,143.0,6.0,3.0,24.0,186.0,862.0
Queens,23017,Total,401.0,313.0,6.0,2.0,33.0,185.0,940.0
Queens,23018,Total,775.0,140.0,2.0,4.0,27.0,286.0,1234.0
Queens,23019,Total,220.0,15.0,0.0,1.0,6.0,60.0,302.0
Queens,23020,Total,1591.0,96.0,8.0,13.0,47.0,433.0,2188.0
Queens,23021,Total,1278.0,139.0,9.0,11.0,42.0,295.0,1774.0
Queens,23022,Total,580.0,27.0,1.0,4.0,7.0,130.0,749.0
Queens,23023,Total,480.0,228.0,2.0,1.0,26.0,188.0,925.0
Queens,23024,Total,594.0,49.0,1.0,5.0,11.0,102.0,762.0
Queens,23025,Total,1256.0,212.0,13.0,8.0,32.0,311.0,1832.0
Queens,23026,Total,654.0,147.0,6.0,3.0,15.0,117.0,942.0
Queens,23027,Total,1058.0,413.0,8.0,1.0,14.0,309.0,1803.0
Queens,23028,Total,1036.0,136.0,6.0,4.0,31.0,247.0,1460.0
Queens,23029,Total,751.0,268.0,5.0,2.0,18.0,301.0,1345.0
Queens,23030,Total,964.0,321.0,10.0,2.0,21.0,315.0,1633.0
Queens,23031,Total,1091.0,193.0,2.0,0.0,27.0,310.0,1623.0
Queens,23032,Total,1190.0,280.0,11.0,1.0,33.0,291.0,1806.0
Queens,23033,Total,572.0,728.0,24.0,3.0,55.0,366.0,1748.0
Queens,23034,Total,521.0,603.0,22.0,4.0,44.0,307.0,1501.0
Queens,23035,Total,451.0,627.0,12.0,2.0,41.0,263.0,1396.0
Queens,23036,Total,578.0,664.0,24.0,4.0,44.0,313.0,1627.0
Queens,23037,Total,727.0,552.0,21.0,5.0,50.0,405.0,1760.0
Queens,23038,Total,565.0,481.0,16.0,5.0,56.0,358.0,1481.0
Queens,23039,Total,105.0,16.0,1.0,0.0,3.0,51.0,176.0
Queens,23040,Total,741.0,123.0,12.0,7.0,31.0,330.0,1244.0
Queens,23041,Total,665.0,231.0,14.0,6.0,32.0,322.0,1270.0
Queens,23042,Total,553.0,168.0,13.0,1.0,23.0,258.0,1016.0
Queens,23043,Total,15.0,3.0,0.0,0.0,1.0,7.0,26.0
Queens,23044,Total,996.0,402.0,19.0,7.0,57.0,381.0,1862.0
Queens,23045,Total,645.0,309.0,17.0,2.0,31.0,225.0,1229.0
Queens,23046,Total,1073.0,273.0,15.0,11.0,63.0,439.0,1874.0
Queens,23047,Total,769.0,244.0,9.0,6.0,31.0,299.0,1358.0
Queens,23048,Total,779.0,284.0,13.0,5.0,36.0,304.0,1421.0
Queens,23049,Total,987.0,270.0,17.0,10.0,40.0,443.0,1767.0
Queens,23050,Total,394.0,78.0,8.0,1.0,19.0,142.0,642.0
Queens,23051,Total,693.0,168.0,10.0,3.0,27.0,298.0,1199.0
Queens,23052,Total,425.0,85.0,5.0,4.0,20.0,165.0,704.0
Queens,23053,Total,1239.0,157.0,6.0,8.0,27.0,381.0,1818.0
Queens,23054,Total,1190.0,144.0,4.0,2.0,28.0,401.0,1769.0
Queens,23055,Total,398.0,77.0,5.0,2.0,12.0,160.0,654.0
Queens,23056,Total,399.0,75.0,2.0,2.0,9.0,139.0,626.0
Queens,23057,Total,625.0,109.0,2.0,3.0,19.0,298.0,1056.0
Queens,23058,Total,265.0,293.0,8.0,3.0,26.0,153.0,748.0
Queens,23059,Total,234.0,278.0,8.0,1.0,17.0,157.0,695.0
Queens,23060,Total,637.0,260.0,13.0,5.0,49.0,327.0,1291.0
Queens,23061,Total,29.0,3.0,0.0,1.0,0.0,7.0,40.0
Queens,23062,Total,959.0,190.0,8.0,4.0,29.0,418.0,1608.0
Queens,24001,Total,399.0,36.0,3.0,1.0,9.0,154.0,602.0
Queens,24002,Total,432.0,64.0,7.0,1.0,13.0,163.0,680.0
Queens,24003,Total,1020.0,129.0,8.0,3.0,39.0,403.0,1602.0
Queens,24004,Total,868.0,135.0,2.0,2.0,23.0,322.0,1352.0
Queens,24005,Total,930.0,116.0,3.0,3.0,28.0,338.0,1418.0
Queens,24006,Total,1216.0,208.0,3.0,7.0,41.0,469.0,1944.0
Queens,24007,Total,841.0,142.0,0.0,6.0,27.0,299.0,1315.0
Queens,24008,Total,770.0,81.0,6.0,6.0,20.0,343.0,1226.0
Queens,24009,Total,1347.0,167.0,2.0,2.0,35.0,459.0,2012.0
Queens,24010,Total,204.0,11.0,0.0,1.0,5.0,54.0,275.0
Queens,24011,Total,786.0,129.0,7.0,4.0,31.0,276.0,1233.0
Queens,24012,Total,638.0,96.0,1.0,0.0,11.0,255.0,1001.0
Queens,24013,Total,605.0,76.0,1.0,4.0,14.0,202.0,902.0
Queens,24014,Total,1110.0,134.0,5.0,6.0,25.0,399.0,1679.0
Queens,24015,Total,761.0,127.0,0.0,8.0,26.0,360.0,1282.0
Queens,24016,Total,48.0,12.0,1.0,2.0,2.0,27.0,92.0
Queens,24017,Total,172.0,11.0,0.0,0.0,11.0,41.0,235.0
Queens,24018,Total,563.0,75.0,1.0,5.0,17.0,243.0,904.0
Queens,24019,Total,981.0,171.0,2.0,2.0,34.0,365.0,1555.0
Queens,24020,Total,1012.0,212.0,12.0,6.0,36.0,416.0,1694.0
Queens,24021,Total,494.0,104.0,4.0,3.0,24.0,218.0,847.0
Queens,24022,Total,79.0,23.0,4.0,0.0,1.0,56.0,163.0
